stop_id, stop_code, stop_name, stop_desc, stop_lon, stop_lat, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
"118", "1046", "Rua Santa Clara", "Esquina com a rua Luiz Vassalo.", "-20.3186611262048", "-40.3443990274955", , , 0, , ,
"28", "1047", "Rua Frei Antônio Dos Mártires", "Em frente ao Ed. Palatino n°159.", "-20.3159635709073", "-40.3392476278878", , , 0, , ,
"332", "1048", "Av  Marechal Mascarenhas De Moraes", "Defronte ao Ed. Fábio Ruschi", "-20.3216020859262", "-40.3349066826197", , , 0, , ,
"119", "1049", "Rua Antônio Da Vitória", "Em frente a residência n°25.", "-20.3191487202997", "-40.345176348837", , , 0, , ,
"30", "1050", "Pc  Irmã Josepha Hosanah", "Em frente ao atual Colégio Nacional", "-20.3184631166556", "-40.337977432657", , , 0, , ,
"657", "1051", "Rua Vasco Coutinho", "Em frente a Vila Oscarina (Laboratório Capixaba)", "-20.3188019207705", "-40.342892536453", , , 0, , ,
"963", "1052", "Rua Beresford Martins Moreira", "Próximo à Matinha da Rodoviária", "-20.3205010284458", "-40.3502666799034", , , 0, , ,
"975", "1053", "Av  Jerônimo Monteiro", "Loja The Best. Próx. à escadaria do Palácio Anchieta.", "-20.3218350861357", "-40.3390727236623", , , 0, , ,
"967", "1054", "Av  Duarte Lemos", "Loja Varejão das Confecções", "-20.3198031229326", "-40.3459959176752", , , 0, , ,
"973", "1055", "Av  Governador Bley", "Defronte ao Porto de Vitória (ilha)", "-20.3216155355898", "-40.3368238959956", , , 0, , ,
"966", "1056", "Av  Cleto Nunes", "Em frente ao Parque Moscoso.", "-20.3199939166684", "-40.3423198929869", , , 0, , ,
"978", "1057", "Rua Pedro Nolasco", "Em frente ao n°71", "-20.3212534352955", "-40.3455262918469", , , 0, , ,
"979", "1058", "Rua Pedro Nolasco", "Em frente a Praça Manoel Rosindo.", "-20.3201264790977", "-40.3463920721891", , , 0, , ,
"968", "1059", "Av  Elias Miguel", "Galpões da Codesa", "-20.3215132969271", "-40.3456185754541", , , 0, , ,
"980", "1060", "Av  Presidente Florentino Avidos", "Em frente a Loja Dadalto.", "-20.3213170585253", "-40.3427626698421", , , 0, , ,
"981", "1061", "Av  Getúlio Vargas", "Em frente ao Galete Bar ( grade do porto )", "-20.322116849845", "-40.3388432224659", , , 0, , ,
"1013", "1062", "Av  Elias Miguel", "Mercado Vila Rubim, Codesa", "-20.3212007659616", "-40.3466176911869", , , 0, , ,
"857", "2000", "Rua Orlando Bonfim", "Próx. ao nº 35.", "-20.3137399244283", "-40.3566454406025", , , 0, , ,
"846", "2001", "Rua Frederico Ozanan", "Ao lado nº 490", "-20.3138916763094", "-40.3488381030069", , , 0, , ,
"358", "2002", "Rua Do Canal", "Em frente ao bar. Esquna com a rua Itabira.", "-20.2918498447299", "-40.3468440839411", , , 0, , ,
"852", "2003", "Rua Orlando Bonfim", "Esquina com a rua Ferreira das Neves.", "-20.3147760213775", "-40.3546766297934", , , 0, , ,
"288", "2004", "Rua Orlando Bonfim", "Em frente ao ed. residencial nº 69. Esquina com a rua Padre Guizan", "-20.3147878759989", "-40.3539320242226", , , 0, , ,
"290", "2005", "Rua Braz Rubim", "Em frente ao nº 442", "-20.3138822371145", "-40.3533468733195", , , 0, , ,
"289", "2006", "Rua Braz Rubim", "Em frente a residencia nº 433", "-20.3136943190698", "-40.3533190660861", , , 0, , ,
"104", "2007", "Rua Gabriel Elias Tacla", "Em frente ao nº 65.", "-20.312628544894", "-40.3531203149285", , , 0, , ,
"368", "2008", "Rod Serafim Derenzi", "Baia em frente a FAESA", "-20.2869272826668", "-40.3361927335962", , , 0, , ,
"277", "2009", "Rua Presidente Arthur Bernardes", "Em frente a residencia nº 168", "-20.3132304501271", "-40.3524411301609", , , 0, , ,
